,Symbol,ShortVolume,TotalVolume,Market
20100702,A,212834,665609,Q
20100702,AA,2090694,5710210,Q
20100702,AACC,1400,4589,Q
20100702,AAI,476984,799638,Q
20100702,AAN,85105,182133,Q
20100702,AAN.A,253,2633,Q
20100702,AAON,4983,6932,Q
20100702,AAP,82620,170197,Q
20100702,AAPL,3611429,11125263,Q
20100702,AAR,2575,3100,Q
20100702,AATI,1150,8654,Q
20100702,AAU,5600,72987,Q
20100702,AAV,22859,136556,Q
20100702,AAWW,22759,60563,Q
20100702,AAXJ,82507,119417,Q
20100702,AB,29871,93968,Q
20100702,ABA,131,3130,Q
20100702,ABAT,91371,1212603,Q
20100702,ABAX,29429,35467,Q
20100702,ABB,163410,411567,Q
20100702,ABBC,1048,3590,Q
20100702,ABC,238676,589663,Q
20100702,ABCB,3704,12559,Q
20100702,ABCD,7200,16732,Q
20100702,ABCO,3005,12753,Q
20100702,ABCW,6941,17252,Q
20100702,ABD,85802,142601,Q
20100702,ABFS,26540,69767,Q
20100702,ABG,45647,76280,Q
20100702,ABII,9535,171663,Q
20100702,ABIO,8810,38525,Q
20100702,ABK,269555,2044336,Q
20100702,ABM,4657,9709,Q
20100702,ABMD,12966,23443,Q
20100702,ABR,2302,45856,Q
20100702,ABT,1324530,1809205,Q
20100702,ABTL,12400,29700,Q
20100702,ABV,22220,53506,Q
20100702,ABV.C,300,700,Q
20100702,ABVT,8470,63721,Q
20100702,ABWpA,2100,4600,Q
20100702,ABX,819200,1691505,Q
20100702,ACAD,46297,189594,Q
20100702,ACAP,400,34213,Q
20100702,ACAS,622977,1539663,Q
20100702,ACAT,12374,21548,Q
20100702,ACC,33172,67732,Q
20100702,ACCL,23799,55302,Q
20100702,ACE,219130,531755,Q
20100702,ACET,13100,34542,Q
20100702,ACF,124029,370723,Q
20100702,ACFC,200,200,Q
20100702,ACFN,200,4756,Q
20100702,ACG,114251,283779,Q
20100702,ACGL,55651,75620,Q
20100702,ACGY,26731,62031,Q
20100702,ACH,50182,99467,Q
20100702,ACHN,4900,17750,Q
20100702,ACI,262779,833752,Q
20100702,ACIW,11900,15165,Q
20100702,ACL,70780,135821,Q
20100702,ACLI,1900,2200,Q
20100702,ACLS,59930,144219,Q
20100702,ACM,568309,777218,Q
20100702,ACMR,3100,13445,Q
20100702,ACN,196052,748040,Q
20100702,ACO,9356,14877,Q
20100702,ACOM,9686,18114,Q
20100702,ACOR,13020,37664,Q
20100702,ACPW,16305,31414,Q
20100702,ACTG,33800,68419,Q
20100702,ACTI,4490,21156,Q
20100702,ACTL,4209,9159,Q
20100702,ACTS,100,400,Q
20100702,ACTU,30154,44939,Q
20100702,ACU,300,2700,Q
20100702,ACUR,5562,10256,Q
20100702,ACV,39384,87033,Q
20100702,ACWI,95533,109246,Q
20100702,ACWX,9205,20490,Q
20100702,ACXM,15276,63792,Q
20100702,ACY,300,785,Q
20100702,ADAM,2000,3400,Q
20100702,ADAT,9675,17100,Q
20100702,ADBE,871394,2370890,Q
20100702,ADC,5323,22427,Q
20100702,ADCT,205245,383721,Q
20100702,ADG,6500,13580,Q
20100702,ADGE,6041,9141,Q
20100702,ADI,284656,468785,Q
20100702,ADK,3620,5620,Q
20100702,ADLR,23043,68664,Q
20100702,ADM,365189,979949,Q
20100702,ADMpA,8600,12889,Q
20100702,ADP,286593,632330,Q
20100702,ADPI,3700,7000,Q
20100702,ADPT,97006,214564,Q
20100702,ADRD,200,4470,Q
20100702,ADRE,3391,84331,Q
20100702,ADRU,2265,2965,Q
20100702,ADS,270720,907199,Q
20100702,ADSK,283331,818579,Q
20100702,ADTN,109694,201535,Q
20100702,ADUS,2100,2950,Q
20100702,ADVS,17558,20983,Q
20100702,ADX,6400,31612,Q
20100702,ADY,7348,24447,Q
20100702,AE,400,600,Q
20100702,AEA,56831,156691,Q
20100702,AEB,1366,4475,Q
20100702,AEC,16799,50901,Q
20100702,AED,2438,8501,Q
20100702,AEE,128990,194191,Q
20100702,AEF,8813,15320,Q
20100702,AEG,55654,166638,Q
20100702,AEH,2263,11258,Q
20100702,AEHR,1800,8850,Q
20100702,AEIS,56246,131954,Q
20100702,AEL,22017,51739,Q
20100702,AEM,143310,334257,Q
20100702,AEN,20791,40983,Q
20100702,AEO,335566,792524,Q
20100702,AEP,488168,825377,Q
20100702,AEPI,5300,7598,Q
20100702,AEPpA,1385,2400,Q
20100702,AER,40084,68191,Q
20100702,AERG,18047,127673,Q
20100702,AERLW,4000,5000,Q
20100702,AES,648452,1211860,Q
20100702,AESpC,1875,2275,Q
20100702,AET,1295031,2178117,Q
20100702,AETI,400,1200,Q
20100702,AEV,4200,12648,Q
20100702,AEY,419,2764,Q
20100702,AEZ,125364,272987,Q
