,Symbol,ShortVolume,TotalVolume,Market
20100121,A,349321,979861,Q
20100121,AA,11905504,27675178,Q
20100121,AACC,800,7652,Q
20100121,AAI,676388,2081035,Q
20100121,AAME,895,1095,Q
20100121,AAN,13192,88571,Q
20100121,AAON,8756,14069,Q
20100121,AAP,115538,207054,Q
20100121,AAPL,4185031,8967979,Q
20100121,AAR,2800,6425,Q
20100121,AATI,18055,44759,Q
20100121,AAU,63617,206896,Q
20100121,AAV,31837,197397,Q
20100121,AAWW,26109,143589,Q
20100121,AAXJ,42247,124052,Q
20100121,AAp,100,200,Q
20100121,AB,86261,167690,Q
20100121,ABA,200,1865,Q
20100121,ABAT,271257,745932,Q
20100121,ABAX,23508,99452,Q
20100121,ABB,609522,1730923,Q
20100121,ABBC,2800,8586,Q
20100121,ABC,227482,743423,Q
20100121,ABCB,16048,25251,Q
20100121,ABCD,500,1100,Q
20100121,ABCO,11645,52545,Q
20100121,ABCW,176662,353190,Q
20100121,ABD,48744,112563,Q
20100121,ABFS,77422,208112,Q
20100121,ABG,16020,37483,Q
20100121,ABII,1550,6209,Q
20100121,ABIO,3316,14254,Q
20100121,ABK,732552,4479146,Q
20100121,ABKpZ,1893,3193,Q
20100121,ABM,28147,58667,Q
20100121,ABMD,23823,44316,Q
20100121,ABR,7500,43283,Q
20100121,ABT,551144,1612787,Q
20100121,ABTL,13325,30450,Q
20100121,ABV,39314,115475,Q
20100121,ABV.C,1100,18454,Q
20100121,ABVT,14184,47860,Q
20100121,ABWpA,4970,5670,Q
20100121,ABX,2265790,5400617,Q
20100121,ACAD,35158,222029,Q
20100121,ACAP,4700,22084,Q
20100121,ACAS,3221010,8375448,Q
20100121,ACAT,2100,4800,Q
20100121,ACC,11552,36488,Q
20100121,ACCL,3581,5981,Q
20100121,ACE,121570,561128,Q
20100121,ACET,43650,215190,Q
20100121,ACF,249755,584771,Q
20100121,ACFN,12872,47894,Q
20100121,ACG,46414,363999,Q
20100121,ACGL,33636,60153,Q
20100121,ACGY,10268,41241,Q
20100121,ACH,84195,290305,Q
20100121,ACHN,172557,326282,Q
20100121,ACI,1281734,2758911,Q
20100121,ACIW,8497,39299,Q
20100121,ACL,66970,419020,Q
20100121,ACLI,1900,7219,Q
20100121,ACLS,175326,602761,Q
20100121,ACM,89951,169633,Q
20100121,ACMR,2562,9489,Q
20100121,ACN,263758,1088789,Q
