,Symbol,ShortVolume,ShortExemptVolume,TotalVolume
20110923,WNI,18096,0,28296
20110923,WNR,537714,0,978171
20110923,WNS,600,0,1300
20110923,WOLF,6200,0,18800
20110923,WOOD,2620,0,8721
20110923,WOOF,112626,0,199190
20110923,WOR,35077,0,61724
20110923,WPC,8664,0,32295
20110923,WPI,90636,200,185698
20110923,WPK,9387,0,15299
20110923,WPO,4220,0,9044
20110923,WPP,9400,0,16946
20110923,WPPGY,1213,0,3732
20110923,WPRT,164756,22932,314334
20110923,WPS,1261,0,5281
20110923,WPZ,43195,0,85463
20110923,WR,128446,0,196635
20110923,WRB,64471,0,77097
20110923,WRBpA,1775,0,4164
20110923,WRC,42256,0,84925
20110923,WRD,711,0,1412
20110923,WRE,38989,0,120319
20110923,WREI,1900,0,6080
20110923,WRES,25574,1900,95157
20110923,WRI,95500,0,138640
20110923,WRIpE,400,0,400
20110923,WRIpF,687,0,2011
20110923,WRLD,7421,0,17829
20110923,WRLS,2700,0,21098
20110923,WRN,2600,0,19048
20110923,WRS,537,0,2802
20110923,WSBC,7300,0,8000
20110923,WSBF,200,0,1600
20110923,WSCI,1200,0,1616
20110923,WSFS,600,0,6952
20110923,WSH,48128,0,127502
20110923,WSM,60059,0,154559
20110923,WSO,17884,0,22553
20110923,WSR,2226,0,9095
20110923,WST,3084,0,9433
20110923,WSTE,1000,0,1000
20110923,WSTL,24550,0,123495
20110923,WTBA,2227,0,7676
20110923,WTFC,13251,0,47315
20110923,WTI,84433,6373,262252
20110923,WTM,800,0,1725
20110923,WTR,23102,0,68690
20110923,WTS,4039,0,11488
20110923,WTSLA,103288,0,157631
20110923,WTT,650,300,4632
20110923,WTW,76697,0,119122
20110923,WU,409958,0,1173129
20110923,WUHN,9300,3800,32600
20110923,WVVI,4000,0,4000
20110923,WWAY,100,0,300
20110923,WWD,10465,0,16739
20110923,WWE,21973,0,59798
20110923,WWON,3448,0,6633
20110923,WWVY,3375,0,4876
20110923,WWW,19300,0,30397
20110923,WWWW,14594,1800,106234
20110923,WX,18348,0,132011
20110923,WXS,16420,0,34880
20110923,WY,337992,200,678960
20110923,WYN,102203,0,262946
20110923,WYNN,383427,500,927112
20110923,WYY,7599,0,10487
20110923,WZE,16800,0,33500
20110923,X,1609837,139191,3729659
20110923,XAA,100,0,662
20110923,XBI,12031,0,23255
20110923,XBKS,200,0,320
20110923,XCJ,2671,0,4808
20110923,XCO,323819,100,701480
20110923,XEC,170261,0,265848
20110923,XEL,231009,0,743934
20110923,XES,6085,0,36641
20110923,XFD,100,0,307
20110923,XFH,200,0,200
20110923,XFN,1100,0,1100
20110923,XFP,500,0,3066
20110923,XG,24757,1200,102169
20110923,XHB,82624,0,163055
20110923,XIDE,117887,25033,389059
20110923,XIN,24500,0,133544
20110923,XING,49797,0,154727
20110923,XIV,1590317,205810,2763196
20110923,XKK,200,0,200
20110923,XL,218733,0,839614
20110923,XLB,1639360,0,2890693
20110923,XLE,1815621,15750,2944624
20110923,XLF,10310374,1100,13887936
20110923,XLG,2664,0,10746
20110923,XLI,3092710,114345,3657188
20110923,XLK,812404,4700,1263878
20110923,XLNX,432387,110100,863639
20110923,XLP,1343528,15005,2731180
