,Symbol,ShortVolume,ShortExemptVolume,TotalVolume
20120329,A,92497,0,525567
20120329,AA,3406595,0,8311781
20120329,AACC,5921,0,26621
20120329,AADR,322,0,322
20120329,AAN,34531,0,54386
20120329,AAON,1631,0,4453
20120329,AAP,42488,0,176618
20120329,AAPL,3102705,1000,6714017
20120329,AAT,6071,0,17596
20120329,AAU,16574,3810,52789
20120329,AAV,18800,900,95864
20120329,AAWW,15225,0,35693
20120329,AAXJ,13141,0,37958
20120329,AB,17325,0,36467
20120329,ABAX,5995,0,11386
20120329,ABB,336884,0,1380663
20120329,ABC,95754,0,302076
20120329,ABCB,4700,0,140264
20120329,ABCD,375,0,375
20120329,ABCO,5400,0,9928
20120329,ABCS,100,0,1850
20120329,ABD,29518,0,61092
20120329,ABFS,21300,0,64205
20120329,ABG,43924,0,64854
20120329,ABH,19100,0,32574
20120329,ABM,19500,0,29646
20120329,ABMD,18597,0,36758
20120329,ABR,4000,0,12500
20120329,ABT,608512,100,1322387
20120329,ABTL,400,0,20537
20120329,ABV,251055,0,653546
20120329,ABVT,6300,0,37659
20120329,ABWpA,550,0,1050
20120329,ABX,719040,6332,1661229
20120329,ACAD,49406,0,164714
20120329,ACAS,142147,0,516258
20120329,ACAT,49601,21500,78024
20120329,ACC,35652,0,119524
20120329,ACCL,4700,0,8942
20120329,ACE,80470,3300,145069
20120329,ACET,49007,0,116981
20120329,ACFN,51711,0,113536
20120329,ACG,201160,0,639980
20120329,ACGL,26563,0,78778
20120329,ACH,19174,0,45182
20120329,ACHC,2100,0,6799
20120329,ACHN,224931,400,346831
20120329,ACI,1286024,0,2864361
20120329,ACIW,14488,0,22430
20120329,ACLS,41405,0,417636
20120329,ACM,18726,0,76746
20120329,ACN,171015,0,428314
20120329,ACO,6700,500,13062
20120329,ACOM,55517,0,100075
20120329,ACOR,18429,0,38879
20120329,ACP,12778,0,24844
20120329,ACPW,28844,0,64512
20120329,ACTG,19162,0,29452
20120329,ACTS,200,0,900
20120329,ACTV,9541,0,19135
20120329,ACU,100,0,1600
20120329,ACUR,7174,0,23024
20120329,ACW,25217,0,242093
20120329,ACWI,51763,0,352580
20120329,ACWV,7655,0,8155
20120329,ACWX,13685,0,32846
20120329,ACXM,20250,0,94368
20120329,ACY,100,0,492
20120329,ADAT,11125,0,22623
20120329,ADBE,201058,0,338068
20120329,ADC,8688,0,27631
20120329,ADEP,4850,0,17037
20120329,ADES,1700,0,3398
20120329,ADGE,22764,0,41277
20120329,ADI,108943,0,222040
20120329,ADK,3700,0,6073
20120329,ADM,396719,0,748132
20120329,ADP,102331,500,414822
20120329,ADRD,500,0,1314
20120329,ADRE,4445,0,19337
20120329,ADS,42086,0,129665
20120329,ADSK,210740,0,829394
20120329,ADTN,90841,0,266477
20120329,ADUS,105,0,705
20120329,ADVS,16342,0,73090
20120329,ADX,1628,0,31510
20120329,ADY,17548,0,38728
20120329,AE,8100,100,49981
20120329,AEA,19803,0,58801
20120329,AEB,2465,0,12474
20120329,AEC,12239,0,116407
20120329,AED,7470,0,26743
20120329,AEE,240383,8884,343063
20120329,AEF,14650,0,64350
20120329,AEG,145365,0,240610
20120329,AEGN,19564,0,28085
20120329,AEGR,4400,0,8820
20120329,AEH,24437,0,42426
20120329,AEIS,33099,0,166983
20120329,AEK,21834,0,45708
20120329,AEL,131946,96000,151022
20120329,AEM,117114,0,259717
20120329,AEO,683534,0,1225166
20120329,AEP,357564,0,948511
20120329,AEPI,200,0,2800
20120329,AEPpA,677,0,4053
20120329,AER,27921,0,54802
20120329,AERL,3800,0,7105
20120329,AES,935446,0,1464909
20120329,AESpC,206,0,4293
20120329,AET,1565067,0,2655403
20120329,AEV,72418,0,125699
20120329,AEZS,301464,6300,824814
20120329,AF,44109,100,93072
20120329,AFAM,16559,0,24241
20120329,AFB,2993,0,17826
20120329,AFC,400,0,6397
20120329,AFCE,2590,0,11790
20120329,AFE,189,0,478
20120329,AFF,21547,0,40330
20120329,AFFX,81049,0,106613
20120329,AFFY,268465,100,824074
20120329,AFG,6744,0,38729
20120329,AFK,2120,0,5320
20120329,AFL,285561,100,550208
20120329,AFOP,2800,0,4000
20120329,AFQ,1968,0,2612
20120329,AFSI,137726,0,179440
20120329,AFT,146130,0,191209
20120329,AG,106006,6214,178908
20120329,AGC,2676,0,21262
20120329,AGCO,69814,0,421929
20120329,AGD,5633,0,34836
20120329,AGEN,252567,0,583668
20120329,AGG,164021,0,342156
20120329,AGII,14700,0,91799
20120329,AGM,300,0,1756
20120329,AGN,234915,0,543829
20120329,AGNC,569363,0,2151084
20120329,AGO,103011,0,245638
20120329,AGOL,100,0,200
20120329,AGOpB,900,0,2266
20120329,AGOpE,468,0,8450
20120329,AGOpF,2535,0,6456
20120329,AGP,185340,0,543621
20120329,AGQ,448156,0,698376
20120329,AGRO,17173,0,36341
20120329,AGU,84968,0,142450
20120329,AGX,100,0,400
20120329,AGYS,1102,0,5702
20120329,AGZ,15320,0,26662
20120329,AH,202351,12365,1034558
20120329,AHC,837,0,2437
20120329,AHGP,19518,0,49637
20120329,AHL,9388,0,43955
20120329,AHLpA,743,0,1263
20120329,AHS,5400,0,14956
20120329,AHT,35089,0,2563115
20120329,AHTpD,8305,0,41473
20120329,AI,4700,0,63312
20120329,AIA,29750,0,32675
20120329,AIG,1329091,300,3309470
20120329,AIG.WS,27795,0,48758
20120329,AIM,544,0,774
20120329,AIMC,2519,0,5823
20120329,AIN,3650,0,31495
20120329,AINV,545540,0,1413609
20120329,AIQ,2198,0,4698
20120329,AIR,24616,0,85276
20120329,AIRM,4100,0,7367
20120329,AIRT,914,0,2207
20120329,AIS,155018,0,531013
20120329,AIT,10382,0,16382
20120329,AIV,81766,0,151500
20120329,AIVpT,400,0,85900
20120329,AIVpV,800,0,2700
20120329,AIVpZ,400,0,7325
20120329,AIXG,7571,0,15900
20120329,AIZ,219962,0,284392
20120329,AJG,35192,0,117717
20120329,AKAM,213748,100,445500
20120329,AKO.B,100,0,1842
20120329,AKP,5946,0,11199
20120329,AKR,21500,0,78817
20120329,AKRX,56360,0,169638
20120329,AKS,999977,900,2380906
20120329,AL,61027,0,110335
20120329,ALB,22052,0,45892
20120329,ALC,800,0,4075
20120329,ALCO,500,0,6800
20120329,ALD,6100,0,15418
20120329,ALE,4694,0,12524
20120329,ALEX,52670,0,78022
20120329,ALG,1063,0,8383
20120329,ALGN,102003,0,143098
20120329,ALGT,2518,0,4118
20120329,ALIM,20907,4860,58053
20120329,ALJ,25007,0,41776
20120329,ALK,20791,0,57344
20120329,ALKS,289379,0,624762
20120329,ALL,351410,100,1005330
20120329,ALLB,400,0,1350
20120329,ALLT,58149,0,154974
20120329,ALLYpA,850,0,13114
20120329,ALLYpB,21768,0,45053
20120329,ALN,450,0,17623
20120329,ALNC,100,0,300
20120329,ALNY,10476,0,19876
20120329,ALOG,3957,0,20100
20120329,ALOT,150,0,150
20120329,ALPpN,300,0,300
20120329,ALPpO,1784,0,1784
20120329,ALR,20169,0,60389
20120329,ALSK,107607,0,209218
20120329,ALSN,8467,0,50217
20120329,ALT,1913,0,4812
20120329,ALTE,7564,0,22703
20120329,ALTH,13261,0,84478
20120329,ALTI,300,0,13732
20120329,ALTR,324434,0,538765
20120329,ALU,2651039,0,5516204
20120329,ALV,11906,0,33148
20120329,ALX,100,0,500
20120329,ALXA,57795,0,203217
20120329,ALXN,114861,0,389556
20120329,AM,49460,0,73127
20120329,AMAG,5650,0,11477
20120329,AMAP,4300,0,8800
20120329,AMAT,1093479,0,2766724
20120329,AMBO,1400,0,15740
