,Symbol,ShortVolume,ShortExemptVolume,TotalVolume
20111109,A,611506,200,1039319
20111109,AA,3003589,5493,8767781
20111109,AACC,1100,0,4200
20111109,AAME,300,0,2850
20111109,AAN,21608,1500,77665
20111109,AAON,12010,0,16820
20111109,AAP,84410,100,217459
20111109,AAPL,1475487,1673,4368652
20111109,AAR,6301,0,20600
20111109,AAT,20813,0,30426
20111109,AATI,7841,0,31761
20111109,AAU,28337,0,94703
20111109,AAV,18785,0,65165
20111109,AAWW,24471,0,51468
20111109,AAXJ,61665,0,107910
20111109,AB,29450,0,116802
20111109,ABAT,161909,0,483001
20111109,ABAX,4995,0,21108
20111109,ABB,259508,0,803891
20111109,ABC,240753,0,585944
20111109,ABCB,2720,0,7415
20111109,ABCD,6864,0,40663
20111109,ABCO,2800,0,10175
20111109,ABCW,19400,0,35890
20111109,ABD,15600,0,21100
20111109,ABFS,12024,0,83739
20111109,ABG,10252,200,25152
20111109,ABH,38402,0,64555
20111109,ABIO,600,0,4199
20111109,ABM,11484,0,22253
20111109,ABMD,20373,0,43825
20111109,ABR,2260,0,15590
20111109,ABT,549804,300,1300075
20111109,ABTL,875,0,2075
20111109,ABV,262740,0,879129
20111109,ABV.C,700,0,2140
20111109,ABVA,2100,0,13100
20111109,ABVT,6707,0,10888
20111109,ABWpA,897,0,4010
20111109,ABWpB,2900,0,2900
20111109,ABX,888056,34304,1723659
20111109,ACAD,46419,0,116730
20111109,ACAS,669227,0,1104407
20111109,ACAT,10434,0,30671
20111109,ACC,44341,0,76587
20111109,ACCL,15772,0,30436
20111109,ACE,218676,200,400679
20111109,ACET,8555,0,18528
20111109,ACFC,758,0,5004
20111109,ACFN,3730,0,11480
20111109,ACG,93682,0,270936
20111109,ACGL,55708,0,232280
20111109,ACH,55674,0,113239
20111109,ACHN,61112,0,139240
20111109,ACI,728294,1000,1643446
20111109,ACIW,37958,0,45359
20111109,ACLS,23109,0,90446
20111109,ACM,73779,0,174835
20111109,ACMR,600,0,28998
20111109,ACN,206705,400,387904
20111109,ACO,9599,400,16539
20111109,ACOM,93099,0,138193
20111109,ACOR,40874,0,64276
20111109,ACP,469,0,9349
20111109,ACPW,39703,0,93921
20111109,ACTG,57542,3500,303149
20111109,ACTS,5100,0,11763
