,Symbol,ShortVolume,TotalVolume,Market
20100323,A,509487,1326449,Q
20100323,AA,4833401,11562585,Q
20100323,AACC,800,1393,Q
20100323,AAI,424637,1160109,Q
20100323,AAME,600,1200,Q
20100323,AAN,66966,105503,Q
20100323,AAON,5654,7000,Q
20100323,AAP,131781,263835,Q
20100323,AAPL,4317083,8198460,Q
20100323,AAR,4900,14275,Q
20100323,AATI,18342,67408,Q
20100323,AAU,3350,17919,Q
20100323,AAV,107485,309772,Q
20100323,AAWW,19960,63958,Q
20100323,AAXJ,19747,140711,Q
20100323,AAp,100,100,Q
20100323,AB,62114,305528,Q
20100323,ABA,11500,16009,Q
20100323,ABAT,89073,247290,Q
20100323,ABAX,11833,17252,Q
20100323,ABB,177902,498821,Q
20100323,ABBC,2333,23035,Q
20100323,ABC,298127,669888,Q
20100323,ABCB,484,5994,Q
20100323,ABCD,400,4100,Q
20100323,ABCO,3417,7069,Q
20100323,ABCW,16014,39767,Q
20100323,ABD,19726,152106,Q
20100323,ABFS,25514,56063,Q
20100323,ABG,18250,51097,Q
20100323,ABI,400,400,Q
20100323,ABII,27349,45525,Q
20100323,ABIO,6199,37051,Q
20100323,ABK,1446481,3658788,Q
20100323,ABKpZ,590,890,Q
20100323,ABL,318,468,Q
20100323,ABM,18749,67005,Q
20100323,ABMD,23741,43891,Q
20100323,ABR,62556,126768,Q
20100323,ABT,604567,1337334,Q
20100323,ABTL,12800,17650,Q
20100323,ABV,10770,119640,Q
20100323,ABVA,2000,3000,Q
20100323,ABVT,2763,32655,Q
20100323,ABWpA,1668,1868,Q
20100323,ABX,2154771,3835167,Q
20100323,ACAD,59693,249430,Q
20100323,ACAP,1400,4763,Q
20100323,ACAS,449048,1147932,Q
20100323,ACAT,644,6519,Q
20100323,ACC,11284,30964,Q
20100323,ACCL,1577,8454,Q
20100323,ACE,215120,541699,Q
20100323,ACET,26689,110145,Q
20100323,ACF,595286,1228998,Q
20100323,ACFC,125,645,Q
20100323,ACFN,17060,43030,Q
20100323,ACG,55876,261611,Q
20100323,ACGL,28683,68680,Q
20100323,ACGY,107986,180197,Q
20100323,ACH,60196,166890,Q
20100323,ACHN,11632,33482,Q
20100323,ACI,863148,1762512,Q
20100323,ACIW,17315,37067,Q
20100323,ACL,25895,114718,Q
20100323,ACLI,843,4128,Q
20100323,ACLS,77563,256852,Q
20100323,ACM,101959,209869,Q
20100323,ACMR,2971,207359,Q
20100323,ACN,267370,1014704,Q
20100323,ACO,8717,21980,Q
20100323,ACOM,16103,28427,Q
20100323,ACOR,33474,62935,Q
20100323,ACPW,9709,33253,Q
20100323,ACTG,16950,40521,Q
20100323,ACTI,36441,91989,Q
20100323,ACTL,4128,8830,Q
20100323,ACTS,9808,43117,Q
20100323,ACTU,7803,30533,Q
20100323,ACUR,3150,6134,Q
20100323,ACV,71034,143453,Q
20100323,ACWI,6297,242259,Q
20100323,ACWX,6974,8818,Q
20100323,ACXM,12580,322582,Q
20100323,ACY,400,1715,Q
20100323,ADAM,1700,5125,Q
20100323,ADAT,42963,124622,Q
20100323,ADBE,622843,2136041,Q
20100323,ADC,11360,18082,Q
20100323,ADCT,248255,609673,Q
20100323,ADEP,940,1957,Q
20100323,ADES,1600,3300,Q
20100323,ADG,100,2100,Q
20100323,ADGE,12650,16900,Q
20100323,ADGF,1732,2505,Q
20100323,ADI,87160,314966,Q
20100323,ADK,6581,23321,Q
20100323,ADLR,8652,49219,Q
20100323,ADM,410455,972223,Q
20100323,ADMpA,9195,37696,Q
20100323,ADP,351861,716633,Q
20100323,ADPI,500,4000,Q
20100323,ADPT,13250,52230,Q
20100323,ADRA,504,1615,Q
20100323,ADRD,775,3460,Q
20100323,ADRE,8420,23808,Q
20100323,ADS,249807,318212,Q
20100323,ADSK,212153,548542,Q
20100323,ADTN,175956,336269,Q
20100323,ADUS,23227,72737,Q
20100323,ADVS,6120,24331,Q
20100323,ADX,9360,62225,Q
20100323,ADY,24339,109718,Q
20100323,AE,1900,5965,Q
20100323,AEA,39405,148795,Q
20100323,AEB,7398,13796,Q
20100323,AEC,14215,58529,Q
20100323,AECpB,434,734,Q
20100323,AED,1833,18180,Q
20100323,AEE,99828,205830,Q
20100323,AEF,20135,39044,Q
20100323,AEG,21698,132277,Q
20100323,AEH,21925,64224,Q
20100323,AEHR,5000,9130,Q
20100323,AEIS,40707,104495,Q
20100323,AEL,93012,274200,Q
20100323,AEM,209315,441314,Q
20100323,AEN,830296,1781530,Q
20100323,AEO,195773,572445,Q
20100323,AEP,190252,945089,Q
20100323,AEPI,6600,32603,Q
20100323,AEPpA,5155,13213,Q
20100323,AER,50975,101332,Q
20100323,AERG,81516,166454,Q
20100323,AES,828850,3693799,Q
20100323,AESpC,200,2307,Q
20100323,AET,842388,1446763,Q
20100323,AETI,2590,3715,Q
20100323,AEV,17740,32048,Q
20100323,AEZ,292451,984354,Q
20100323,AEZS,34070,60947,Q
20100323,AF,83240,294260,Q
20100323,AFAM,27760,58682,Q
20100323,AFB,9741,16873,Q
20100323,AFC,12740,28045,Q
20100323,AFCB,500,1600,Q
20100323,AFCE,4495,13486,Q
20100323,AFE,1717,2517,Q
20100323,AFF,19966,58121,Q
20100323,AFFM,15077,26625,Q
20100323,AFFX,78530,216153,Q
20100323,AFFY,42400,82325,Q
20100323,AFG,22305,53702,Q
20100323,AFK,9187,11710,Q
20100323,AFL,327438,953029,Q
20100323,AFOP,4655,44071,Q
20100323,AFP,500,600,Q
20100323,AFSI,4000,27416,Q
20100323,AGAM,84685,860249,Q
20100323,AGC,12832,41852,Q
20100323,AGCO,113858,266034,Q
20100323,AGD,12237,111284,Q
20100323,AGEN,40340,191723,Q
20100323,AGF,145,1545,Q
20100323,AGG,151144,298967,Q
20100323,AGII,12026,45031,Q
20100323,AGL,12679,32575,Q
20100323,AGM,19994,64791,Q
20100323,AGM.A,400,500,Q
20100323,AGN,51597,256089,Q
20100323,AGNC,180301,462333,Q
20100323,AGO,259597,999658,Q
20100323,AGP,99121,213596,Q
20100323,AGQ,51277,108346,Q
20100323,AGT,63450,473898,Q
20100323,AGU,138636,256769,Q
20100323,AGX,2983,3574,Q
20100323,AGYS,53179,63202,Q
20100323,AGZ,3117,9475,Q
20100323,AHC,10900,27907,Q
20100323,AHCI,700,13253,Q
20100323,AHD,38000,72285,Q
20100323,AHGP,2243,11425,Q
20100323,AHII,6900,18357,Q
20100323,AHL,42698,137784,Q
20100323,AHLp,200,300,Q
20100323,AHLpA,150,2500,Q
20100323,AHPI,100,1417,Q
20100323,AHS,29280,75909,Q
20100323,AHT,81170,300329,Q
20100323,AHTpA,900,3250,Q
20100323,AHTpD,2250,8250,Q
20100323,AI,29005,42869,Q
20100323,AIA,423,4143,Q
20100323,AIB,589855,1535774,Q
20100323,AIG,2168647,7048127,Q
20100323,AIGpA,79628,123957,Q
20100323,AIMC,34305,79179,Q
20100323,AIN,8419,21743,Q
20100323,AINV,324049,696709,Q
20100323,AIPC,31829,66448,Q
20100323,AIQ,1300,12658,Q
20100323,AIR,7516,47686,Q
20100323,AIRM,8687,48298,Q
20100323,AIRT,750,3053,Q
20100323,AIRV,4999,47295,Q
20100323,AIS,41960,160956,Q
20100323,AIT,4100,16073,Q
20100323,AIV,155050,337489,Q
20100323,AIVpG,500,2985,Q
20100323,AIVpU,2279,2579,Q
20100323,AIVpY,200,900,Q
20100323,AIXG,48008,91882,Q
20100323,AIZ,58785,157041,Q
20100323,AJG,109095,307958,Q
20100323,AKAM,364735,958209,Q
20100323,AKF,400,1800,Q
20100323,AKL,100,100,Q
20100323,AKN,200,700,Q
20100323,AKNS,34627,77966,Q
20100323,AKO.A,200,2571,Q
20100323,AKP,9500,25632,Q
20100323,AKR,14140,54500,Q
20100323,AKRX,13200,36063,Q
20100323,AKS,1036988,2914475,Q
20100323,AKT,3500,13321,Q
20100323,ALAN,9348,19807,Q
20100323,ALB,39273,126733,Q
20100323,ALC,2970,7875,Q
20100323,ALCO,9917,20528,Q
20100323,ALD,175197,628938,Q
20100323,ALE,5242,22173,Q
20100323,ALEX,13673,29835,Q
20100323,ALF,1300,4425,Q
20100323,ALG,5824,25320,Q
20100323,ALGN,46829,150734,Q
20100323,ALGT,85729,123551,Q
20100323,ALJ,23700,97449,Q
20100323,ALK,65035,90969,Q
20100323,ALKS,89603,228779,Q
20100323,ALL,181639,521534,Q
20100323,ALLT,6333,16493,Q
20100323,ALM,8750,17770,Q
20100323,ALN,18443,64513,Q
20100323,ALNC,100,100,Q
20100323,ALNY,46753,92050,Q
20100323,ALOG,3564,16572,Q
20100323,ALOT,700,1737,Q
20100323,ALOY,1300,4907,Q
20100323,ALPpN,700,4211,Q
20100323,ALPpP,500,500,Q
20100323,ALQ,26757,29857,Q
20100323,ALSK,102204,204547,Q
20100323,ALT,3230,17250,Q
20100323,ALTH,62593,211712,Q
20100323,ALTI,21352,82969,Q
20100323,ALTR,516641,1221021,Q
20100323,ALU,2928482,4748146,Q
20100323,ALV,243516,604011,Q
20100323,ALVR,34226,129611,Q
20100323,ALVpZ,100,200,Q
20100323,ALX,200,7500,Q
20100323,ALXA,3475,14695,Q
20100323,ALXN,57370,144650,Q
20100323,ALY,19432,89284,Q
20100323,ALZ,2200,7498,Q
20100323,AM,33511,51743,Q
20100323,AMAC,3913,7253,Q
20100323,AMAG,28908,45719,Q
20100323,AMAT,6660499,13171444,Q
20100323,AMB,177290,383677,Q
20100323,AMCC,185210,416582,Q
20100323,AMCF,11178,29872,Q
20100323,AMCN,8430,28250,Q
20100323,AMCS,28633,107508,Q
20100323,AMD,1155449,4137641,Q
20100323,AME,8283,170419,Q
20100323,AMED,55858,284716,Q
20100323,AMFI,32416,101784,Q
20100323,AMG,35181,61814,Q
20100323,AMGN,839322,1441643,Q
20100323,AMIC,100,1000,Q
20100323,AMIE,9900,14050,Q
20100323,AMIN,17431,37809,Q
20100323,AMJ,256108,334500,Q
20100323,AMKR,173492,732992,Q
20100323,AMLN,231446,740149,Q
20100323,AMMD,29528,80710,Q
20100323,AMN,7238,14778,Q
20100323,AMNB,2724,4371,Q
20100323,AMOT,500,996,Q
20100323,AMOV,139,1439,Q
20100323,AMP,130244,307171,Q
20100323,AMPH,1932,4332,Q
20100323,AMPL,6783,13752,Q
20100323,AMPpA,900,2050,Q
20100323,AMR,2885070,7091014,Q
20100323,AMRB,385,2973,Q
20100323,AMRI,1788,7097,Q
20100323,AMRN,25283,51920,Q
20100323,AMS,6800,16750,Q
20100323,AMSC,486181,958647,Q
20100323,AMSF,1400,38217,Q
20100323,AMSG,2225,16000,Q
20100323,AMSWA,2702,7393,Q
20100323,AMT,322092,739145,Q
20100323,AMTD,247158,666097,Q
20100323,AMWD,1500,4600,Q
20100323,AMX,535395,826671,Q
20100323,AMZN,486546,1611817,Q
20100323,AN,228017,543759,Q
20100323,ANAD,56260,182052,Q
20100323,ANCI,26335,80589,Q
20100323,ANCX,600,2600,Q
20100323,ANDE,12992,37257,Q
20100323,ANDS,53237,177055,Q
20100323,ANEN,2560,8585,Q
20100323,ANF,223999,661786,Q
20100323,ANGN,400,500,Q
20100323,ANGO,13642,271099,Q
20100323,ANH,297883,1109945,Q
20100323,ANHpA,484,484,Q
20100323,ANIK,8200,14733,Q
20100323,ANLYD,3800,6965,Q
20100323,ANN,112288,371123,Q
20100323,ANO,74906,227465,Q
20100323,ANPI,14260,128064,Q
20100323,ANR,475111,1314333,Q
20100323,ANSS,14770,76422,Q
20100323,ANTH,2900,4394,Q
20100323,ANTP,800,2849,Q
20100323,ANV,27078,71873,Q
20100323,ANW,56941,185925,Q
20100323,ANX,284552,2413785,Q
20100323,AOA,1403,6263,Q
20100323,AOB,139556,284743,Q
20100323,AOD,219938,640302,Q
20100323,AOI,20442,52674,Q
20100323,AOK,3327,3977,Q
20100323,AOL,38277,145817,Q
20100323,AOM,11329,15065,Q
20100323,AON,42232,179277,Q
20100323,AONE,491190,1339209,Q
20100323,AOR,1010,5419,Q
20100323,AOS,63740,169938,Q
20100323,AP,8275,26835,Q
20100323,APA,391172,1006122,Q
20100323,APAC,5200,19599,Q
20100323,APAGF,400,1431,Q
20100323,APC,333192,643432,Q
20100323,APCVZ,5003315,13551526,Q
20100323,APD,90587,183239,Q
20100323,APEI,15565,27065,Q
20100323,APF,6262,27786,Q
20100323,APFC,439,1310,Q
20100323,APH,489668,1808311,Q
20100323,API,26600,38100,Q
20100323,APKT,115009,526672,Q
20100323,APL,22494,112297,Q
20100323,APOG,16950,43432,Q
20100323,APOL,155347,499945,Q
20100323,APP,142248,444590,Q
20100323,APPA,514043,1485774,Q
20100323,APPY,34487,80128,Q
20100323,APSG,12006,31616,Q
20100323,APT,31985,93030,Q
20100323,APU,5250,20176,Q
20100323,APWR,290562,676570,Q
20100323,APX,13322,26495,Q
20100323,AQQ,100,400,Q
20100323,ARAY,151958,539133,Q
20100323,ARB,39899,62193,Q
20100323,ARBA,41951,156484,Q
20100323,ARBX,4500,8400,Q
20100323,ARCC,517709,1009598,Q
20100323,ARCL,8549,39856,Q
20100323,ARCW,1500,3116,Q
20100323,ARD,66605,307282,Q
20100323,ARE,148312,172310,Q
20100323,AREX,800,4845,Q
20100323,ARG,24422,466846,Q
20100323,ARGN,32843,128952,Q
20100323,ARHpA,100,1723,Q
20100323,ARHpB,550,2672,Q
20100323,ARI,2100,14750,Q
20100323,ARIA,2710754,3856284,Q
20100323,ARII,27579,39624,Q
20100323,ARJ,900,2741,Q
20100323,ARK,88668,300517,Q
20100323,ARKR,1959,3100,Q
20100323,ARL,100,405,Q
20100323,ARLP,16670,59648,Q
20100323,ARM,919909,1356943,Q
20100323,ARMH,94154,368384,Q
20100323,ARNA,691255,1696406,Q
20100323,ARO,347203,723952,Q
20100323,AROW,400,2585,Q
20100323,ARP,11950,45187,Q
20100323,ARQL,14017,115087,Q
20100323,ARRS,111640,244693,Q
20100323,ARRY,7945,70837,Q
20100323,ARSD,5142,31300,Q
20100323,ARST,83042,179546,Q
20100323,ART,14974,100860,Q
20100323,ARTC,14423,62526,Q
20100323,ARTG,147807,445879,Q
20100323,ARTNA,1650,3744,Q
20100323,ARTW,200,700,Q
20100323,ARTX,11339,19288,Q
20100323,ARUN,175225,446402,Q
20100323,ARW,44638,232781,Q
20100323,ARWR,3457695,8357999,Q
20100323,ARYX,170655,651095,Q
20100323,ASA,800,3618,Q
20100323,ASBC,244185,578571,Q
20100323,ASBI,390,23390,Q
20100323,ASCA,25744,44594,Q
20100323,ASCMA,986,21146,Q
20100323,ASEI,6107,10269,Q
20100323,ASF,23930,48268,Q
20100323,ASFI,2606,16141,Q
20100323,ASFN,1000,1500,Q
20100323,ASG,10200,62636,Q
20100323,ASGN,3100,113058,Q
20100323,ASGR,2600,29612,Q
20100323,ASH,101186,193895,Q
20100323,ASI,6100,19816,Q
20100323,ASIA,142552,268161,Q
20100323,ASMI,16161,25645,Q
20100323,ASML,239173,585042,Q
20100323,ASP,6770,22331,Q
20100323,ASPS,4246,60127,Q
20100323,ASR,14800,72300,Q
20100323,ASRV,800,1200,Q
20100323,ASTC,19606,78646,Q
20100323,ASTE,29811,51530,Q
20100323,ASTI,53875,169851,Q
20100323,ASTIZ,11421,15621,Q
20100323,ASTM,280121,639001,Q
20100323,ASUR,2394,3675,Q
20100323,ASX,53891,523184,Q
20100323,ASYS,6200,24810,Q
20100323,ATAC,3003,13972,Q
20100323,ATAI,1700,6800,Q
20100323,ATAX,6710,30463,Q
20100323,ATCO,6500,15028,Q
20100323,ATE,300,901,Q
20100323,ATEA,100,200,Q
20100323,ATEC,6987,14341,Q
20100323,ATHN,90898,144639,Q
20100323,ATHR,326925,613466,Q
20100323,ATHX,24210,131622,Q
20100323,ATI,217003,553788,Q
20100323,ATK,40206,103606,Q
20100323,ATLO,1500,2605,Q
20100323,ATLS,70844,328828,Q
20100323,ATMI,17905,30443,Q
20100323,ATML,555547,1189559,Q
20100323,ATNI,5800,17054,Q
20100323,ATO,19671,69379,Q
20100323,ATPG,392073,737653,Q
20100323,ATR,7027,23981,Q
20100323,ATRC,700,4408,Q
20100323,ATRI,1022,1222,Q
20100323,ATRM,1500,5600,Q
20100323,ATRN,100,255,Q
20100323,ATRO,900,1100,Q
20100323,ATSC,1645,2145,Q
20100323,ATSG,27971,176158,Q
20100323,ATSI,28324,67717,Q
20100323,ATT,40760,127402,Q
20100323,ATU,47629,98344,Q
20100323,ATV,28002,107969,Q
20100323,ATVI,2254532,3485538,Q
20100323,ATW,41900,118508,Q
20100323,ATX,4644,13152,Q
20100323,AU,55048,201538,Q
20100323,AUBN,300,300,Q
20100323,AUDC,26156,68135,Q
20100323,AUO,486670,796923,Q
20100323,AUTC,29222,57689,Q
20100323,AUTH,9535,43771,Q
20100323,AUXL,127399,198736,Q
20100323,AUY,1205304,3026862,Q
20100323,AV,2900,543327,Q
20100323,AVA,8700,53794,Q
20100323,AVAV,22345,52358,Q
20100323,AVB,102769,189980,Q
20100323,AVCA,5960,10729,Q
20100323,AVD,8857,35375,Q
20100323,AVEO,3150,16407,Q
20100323,AVF,14338,98348,Q
20100323,AVGO,48335,101151,Q
20100323,AVID,13642,41432,Q
20100323,AVII,171245,416591,Q
20100323,AVK,33163,45416,Q
20100323,AVNR,35255,151608,Q
20100323,AVNW,13647,135313,Q
20100323,AVP,135668,286016,Q
20100323,AVT,93691,202105,Q
20100323,AVTR,1200,5000,Q
20100323,AVX,22188,41734,Q
20100323,AVY,474069,569993,Q
20100323,AVYpA,1100,3500,Q
20100323,AWC,17050,76946,Q
