,Symbol,ShortVolume,ShortExemptVolume,TotalVolume
20110912,A,262721,0,919635
20110912,AA,3620947,2900,8690593
20110912,AACC,322,0,3022
20110912,AAN,35585,0,111394
20110912,AAON,5731,0,8402
20110912,AAP,47809,100,100019
20110912,AAPL,1961351,1350,4645902
20110912,AAR,1100,0,1635
20110912,AAT,4650,0,26712
20110912,AATI,105235,17682,517072
20110912,AAU,15757,0,71189
20110912,AAV,41858,2000,91048
20110912,AAWW,6344,0,26678
20110912,AAXJ,5647,0,68086
20110912,AB,41352,0,97352
20110912,ABAT,78725,0,211692
20110912,ABAX,2225,0,5067
20110912,ABB,318234,0,952069
20110912,ABBC,1432,0,1932
20110912,ABC,122798,0,389410
20110912,ABCB,5950,0,8405
20110912,ABCD,3300,0,17564
20110912,ABCO,6056,600,28564
20110912,ABCS,430,0,430
20110912,ABD,9800,0,73849
20110912,ABFS,26268,0,40316
20110912,ABG,30615,0,90741
20110912,ABH,28909,0,72248
20110912,ABIO,6534,0,12244
20110912,ABM,27772,0,47752
20110912,ABMD,12370,0,72800
20110912,ABR,4041,0,21962
20110912,ABT,690501,0,1343856
20110912,ABTL,2200,0,3340
20110912,ABV,218000,0,550529
20110912,ABVT,25488,0,35367
20110912,ABWpA,579,0,4968
20110912,ABX,931491,12887,1485329
20110912,ACAD,68875,0,204949
20110912,ACAS,268999,0,724027
20110912,ACAT,6875,0,23269
20110912,ACC,64453,0,110599
20110912,ACCL,15944,0,27521
20110912,ACE,82443,0,274915
20110912,ACET,10249,0,24189
20110912,ACFC,1000,0,4140
20110912,ACFN,8870,0,13990
20110912,ACG,60501,0,210139
20110912,ACGL,41328,0,178858
20110912,ACH,27217,0,67333
20110912,ACHN,62280,0,109082
20110912,ACI,586968,0,1326704
20110912,ACIW,16426,0,31537
20110912,ACLS,109942,0,224161
20110912,ACM,165665,0,348180
20110912,ACMR,976,0,27202
20110912,ACN,296347,0,950384
20110912,ACO,7337,0,11542
20110912,ACOM,152494,0,379079
20110912,ACOR,22582,0,70847
20110912,ACP,2315,0,5625
20110912,ACPW,46558,0,92700
20110912,ACTG,37223,0,84083
20110912,ACTS,1100,0,2200
20110912,ACTV,1600,0,5971
20110912,ACUR,2616,0,8917
20110912,ACW,50857,0,230424
20110912,ACWI,91320,0,313928
20110912,ACWX,17621,0,35767
20110912,ACXM,37768,0,60000
20110912,ADAT,1000,0,3800
20110912,ADBE,657026,100,1004969
20110912,ADC,2517,0,8315
20110912,ADES,1859,0,7064
20110912,ADGE,500,0,3719
20110912,ADGF,400,0,2900
20110912,ADI,246706,0,532659
20110912,ADLR,3700,0,23860
20110912,ADM,377067,0,979529
20110912,ADP,243239,0,349316
20110912,ADPI,2200,0,11116
20110912,ADRD,5077,0,10253
20110912,ADRE,586,0,9926
20110912,ADRU,1700,0,4339
20110912,ADS,88120,0,134288
20110912,ADSK,394553,200,579265
20110912,ADTN,20528,0,28673
20110912,ADVS,9954,0,17215
20110912,ADX,6417,0,33003
20110912,ADY,2450,0,11750
20110912,AEA,72317,0,143832
20110912,AEB,3532,0,10806
20110912,AEC,4745,0,19889
20110912,AED,3704,0,15194
20110912,AEE,87996,100,146065
20110912,AEF,7881,0,39272
20110912,AEG,319254,0,476219
20110912,AEGR,1300,0,3500
20110912,AEH,15208,0,38960
20110912,AEIS,17075,0,57453
20110912,AEL,30101,0,94533
20110912,AEM,141069,3400,291322
20110912,AEN,4700,0,21100
20110912,AEO,256850,0,436083
20110912,AEP,462546,0,1086276
20110912,AEPI,600,0,2300
20110912,AEPpA,5863,0,10256
20110912,AER,38849,0,128171
20110912,AERG,7500,0,24984
20110912,AERL,1600,700,24690
20110912,AES,745915,0,1260509
20110912,AESpC,790,0,1190
20110912,AET,277249,0,486765
20110912,AETI,1692,0,2282
20110912,AEV,7835,0,30444
20110912,AEZS,138558,0,390969
20110912,AF,42842,0,60980
20110912,AFAM,5776,0,9164
20110912,AFB,3400,0,25585
20110912,AFC,200,0,415
20110912,AFCB,505,0,505
20110912,AFCE,5800,0,9183
20110912,AFE,2200,0,2532
20110912,AFF,9347,0,19111
20110912,AFFX,188375,0,234915
20110912,AFFY,21746,0,69159
20110912,AFG,39282,0,59103
20110912,AFL,430538,0,688540
20110912,AFOP,700,0,1975
20110912,AFSI,20842,0,49154
20110912,AFT,12318,0,28935
20110912,AG,253168,42939,880979
20110912,AGA,290,0,4090
20110912,AGC,10011,0,22613
20110912,AGCO,281067,0,524379
20110912,AGD,9800,0,40283
20110912,AGEM,151,0,290
20110912,AGEN,53110,0,297951
20110912,AGG,183055,0,393450
20110912,AGII,2749,0,4902
20110912,AGL,13500,0,34110
20110912,AGM,2025,0,8016
20110912,AGN,110117,0,451735
20110912,AGNC,1562150,0,2324895
20110912,AGO,512557,0,961537
20110912,AGOpB,2350,0,2820
20110912,AGOpE,4725,0,7579
20110912,AGOpF,500,0,1600
20110912,AGP,244016,0,673076
20110912,AGQ,102648,1500,380665
20110912,AGRO,2850,0,30730
20110912,AGU,103648,5100,168448
20110912,AGX,315,0,1563
20110912,AGYS,13056,0,15667
20110912,AGZ,4881,0,8531
20110912,AH,73103,0,123384
20110912,AHC,7883,0,18483
20110912,AHCI,16900,0,25125
20110912,AHGP,670,0,6790
20110912,AHL,14214,0,24898
20110912,AHPI,364,0,364
20110912,AHS,17450,0,24551
20110912,AHT,39571,0,174973
20110912,AHTpA,100,0,600
20110912,AHTpD,6800,0,25800
20110912,AHTpE,2400,0,7900
20110912,AI,8250,0,26247
20110912,AIA,1700,0,3394
20110912,AIG,670978,100,1225180
20110912,AIG.WS,13342,0,56608
20110912,AIMC,29770,0,118802
20110912,AIN,2420,0,11788
20110912,AINV,397158,0,552548
20110912,AIQ,1215,0,21075
20110912,AIR,20014,0,40439
20110912,AIRM,4797,0,7706
20110912,AIS,149365,0,260112
20110912,AIT,16285,0,35148
20110912,AIV,213761,100,367744
20110912,AIVpU,225,0,2121
20110912,AIVpZ,850,0,4930
20110912,AIXG,17561,0,59869
20110912,AIZ,55113,0,109477
20110912,AJG,91232,0,162665
20110912,AKAM,266395,200,616943
20110912,AKO.A,700,0,1200
20110912,AKO.B,200,0,1948
20110912,AKP,200,0,6541
20110912,AKR,4000,0,27400
20110912,AKRX,46179,0,153229
20110912,AKS,1518511,200,2317968
20110912,AL,6740,0,35109
20110912,ALB,45932,0,248243
20110912,ALC,500,0,2908
20110912,ALCO,2050,0,2862
20110912,ALD,22669,0,29898
20110912,ALE,14376,0,22931
20110912,ALEX,16725,0,29903
20110912,ALG,700,0,8100
20110912,ALGN,79323,0,178124
20110912,ALGT,2289,0,5004
20110912,ALIM,6712,0,14354
20110912,ALJ,13400,0,33528
20110912,ALK,17809,0,25188
20110912,ALKS,29111,0,87577
20110912,ALL,312920,100,447761
20110912,ALLT,15253,1027,62759
20110912,ALLYpA,14930,0,173430
20110912,ALLYpB,79057,0,89184
20110912,ALM,5560,0,5893
20110912,ALN,2700,0,6600
20110912,ALNC,739,0,1639
20110912,ALNY,20778,0,44489
20110912,ALOG,2100,0,17314
20110912,ALPpO,228,0,346
20110912,ALR,51340,0,236258
20110912,ALRN,200,0,600
20110912,ALSK,65237,0,149650
20110912,ALT,1290,0,2499
20110912,ALTE,13777,0,26884
20110912,ALTH,52359,0,295022
20110912,ALTI,9300,0,32624
20110912,ALTR,518478,100,1383959
20110912,ALU,3345363,6800,9779741
20110912,ALV,64471,0,104558
20110912,ALVR,11175,0,82238
20110912,ALX,121,0,121
20110912,ALXA,18900,0,111326
20110912,ALXN,101124,0,203398
20110912,AM,17675,100,22623
20110912,AMAC,500,0,2500
20110912,AMAG,22105,0,259888
20110912,AMAP,5100,0,11100
20110912,AMAT,986477,5700,4218898
20110912,AMBO,1100,0,9500
20110912,AMCC,68243,0,124154
20110912,AMCF,4353,0,12712
20110912,AMCN,3648,0,12146
20110912,AMCX,9666,0,25755
20110912,AMD,2801639,8400,4967384
20110912,AME,16480,0,109213
20110912,AMED,150624,0,206667
20110912,AMG,30956,0,90128
