,Symbol,ShortVolume,TotalVolume,Market
20100510,A,294967,679432,Q
20100510,AA,5396288,13025219,Q
20100510,AACC,5200,9400,Q
20100510,AAI,260692,947961,Q
20100510,AAME,600,3131,Q
20100510,AAN,40738,139978,Q
20100510,AAON,9898,15020,Q
20100510,AAP,25066,102329,Q
20100510,AAPL,5138906,14444787,Q
20100510,AAR,1400,3500,Q
20100510,AATI,14109,38870,Q
20100510,AAU,21300,47882,Q
20100510,AAV,46894,144054,Q
20100510,AAWW,34283,93351,Q
20100510,AAXJ,19275,60601,Q
20100510,AB,85616,285328,Q
20100510,ABA,800,2122,Q
20100510,ABAT,180619,334477,Q
20100510,ABAX,20341,44900,Q
20100510,ABB,162801,869362,Q
20100510,ABBC,34290,51024,Q
20100510,ABC,358356,829265,Q
20100510,ABCB,1000,9559,Q
20100510,ABCD,1600,11459,Q
20100510,ABCO,9208,40251,Q
20100510,ABCW,10293,53595,Q
20100510,ABD,52922,500001,Q
20100510,ABFS,33504,84064,Q
20100510,ABG,59658,123213,Q
20100510,ABII,2757,11171,Q
20100510,ABIO,276767,527285,Q
20100510,ABK,3470258,12691185,Q
20100510,ABKpZ,1150,21150,Q
20100510,ABL,408,508,Q
20100510,ABM,6491,19997,Q
20100510,ABMD,20982,85411,Q
20100510,ABR,46050,97626,Q
20100510,ABT,1363345,2670654,Q
20100510,ABTL,76756,221960,Q
20100510,ABV,53856,112859,Q
20100510,ABV.C,300,600,Q
20100510,ABVT,25654,137184,Q
20100510,ABWpA,2590,10790,Q
20100510,ABX,1375620,2723915,Q
20100510,ACAD,44558,258276,Q
20100510,ACAP,3193,7611,Q
20100510,ACAS,2125698,5291676,Q
20100510,ACAT,28898,80392,Q
20100510,ACC,34487,103697,Q
20100510,ACCL,1220,15970,Q
20100510,ACE,136389,506238,Q
20100510,ACET,6317,51763,Q
20100510,ACF,232724,459216,Q
20100510,ACFC,1682,3455,Q
20100510,ACFN,12290,17770,Q
20100510,ACG,108888,475919,Q
20100510,ACGL,17138,80267,Q
20100510,ACGY,62440,154673,Q
20100510,ACH,70103,168730,Q
20100510,ACHN,23385,93267,Q
20100510,ACI,784405,1421193,Q
20100510,ACIW,7300,32087,Q
20100510,ACL,133815,311980,Q
20100510,ACLI,25100,28088,Q
20100510,ACLS,232067,557236,Q
20100510,ACM,43645,474598,Q
20100510,ACMR,11397,40490,Q
20100510,ACN,281377,1225633,Q
